Unnamed: 0,cod,cod2,nome,nome.1,nomeUF,UF,plan,legis,saude,meioamb,polgen,pop,ida,sexo,idade,escolaridade,partido,regiao,ESPVIDA1991,MORT1991,ESPVIDA2000,MORT12000,ESPVIDA2010,MORT12010,IDH1991,IDH2000,IDH2010,GINI1991,GINI2000,GINI2010,Renda1991,Renda2000,Renda2010
78,78,320013,AGUIA BRANCA,AGUIA BRANCA,AGUIA BRANCA - ES,ES,-2,2,1,8,-6,10045,3,Feminino,65,Pós-graduação,PMDB,Sudeste,68.05,56.56,66.5,33.5,72.53,17.7,580,711,788,0.65,0.55,0.53,134.01,333.79,487.28
79,79,250020,AGUIAR,AGUIAR,AGUIAR - PB,PB,-1,-9,7,-3,-8,5586,-14,Masculino,39,superior cpt.,PP,Nordeste,64.17,90.38,62.13,52.82,70.17,26.9,579,710,788,0.49,0.5,0.65,88.31,115.43,407.32
80,80,170030,AGUIARNOPOLIS,AGUIARNOPOLIS,AGUIARNOPOLIS - TO,TO,-1,2,7,-5,-8,5820,-5,Masculino,38,médio cpt.,PT,Norte,58.02,72.59,64.96,43.81,73.21,18,579,710,788,0.45,0.62,0.48,158.75,194.86,374.27
81,81,310110,AIMORES,AIMORES,AIMORES - MG,MG,-1,4,-1,1,-12,25675,-9,Masculino,76,fundamental incpt.,DEM,Sudeste,61.4,36.09,71.99,22.95,73.58,17.6,579,710,788,0.56,0.56,0.53,237.81,354.63,567.46
82,82,290060,AIQUARA,AIQUARA,AIQUARA - BA,BA,-2,-3,7,5,-8,4767,-1,Masculino,43,médio incpt.,PC do B,Nordeste,63.95,75.41,62.65,50.83,69,30.6,578,710,788,0.64,0.55,0.44,134.02,185.75,283.24
83,83,230040,AIUABA,AIUABA,AIUABA - CE,CE,-2,-9,5,-5,-8,16784,-19,Masculino,38,fundamental incpt.,PSB,Nordeste,55.42,72.39,61.93,64.71,69.96,26.6,578,709,788,0.62,0.65,0.53,74.98,99.06,200.6
84,84,310120,AIURUOCA,AIURUOCA,AIURUOCA - MG,MG,12,10,1,2,-25,6274,0,Masculino,64,superior cpt.,PSB,Sudeste,61.89,32.79,72.21,22.38,77.23,12.1,578,709,787,0.55,0.63,0.49,255.26,448.77,539.92
85,85,430020,AJURICABA,AJURICABA,AJURICABA - RS,RS,-1,-3,3,-1,-6,7420,-8,Masculino,46,médio cpt.,PT,Sul,70.31,23.2,73.21,16.7,75.98,12.2,578,709,787,0.58,0.45,0.47,319.98,466.14,925.7
86,86,310130,ALAGOA,ALAGOA,ALAGOA - MG,MG,6,-5,7,-4,-8,2768,-4,Masculino,48,superior incpt.,PSDB,Sudeste,57.95,36.85,71.53,24.22,74.93,15.4,577,708,786,0.62,0.53,0.42,283,281.33,413.75
87,87,250030,ALAGOA GRANDE,ALAGOA GRANDE,ALAGOA GRANDE - PB,PB,10,12,7,7,-6,28733,30,Masculino,48,superior cpt.,PR,Nordeste,67.87,55.77,66.03,38.83,72.83,19.5,577,708,786,0.6,0.55,0.53,146,184.01,287.94
88,88,250040,ALAGOA NOVA,ALAGOA NOVA,ALAGOA NOVA - PB,PB,-1,-4,7,2,-6,20294,-2,Masculino,43,superior incpt.,PMDB,Nordeste,64.29,87.45,63.24,48.6,69.93,27.6,577,706,786,0.52,0.6,0.54,101.82,164.27,272.81
89,89,250050,ALAGOINHA,ALAGOINHA,ALAGOINHA - PB,PB,-2,-3,3,-5,-21,14088,-28,Feminino,59,superior cpt.,PHS,Nordeste,62.95,81.15,64.73,43.24,72.72,19.8,576,706,786,0.47,0.53,0.52,85.31,163.13,284.64
90,90,260060,ALAGOINHA,ALAGOINHA,ALAGOINHA - PE,PE,12,-1,3,-4,-3,14155,7,Masculino,43,médio cpt.,PTB,Nordeste,58.38,83.48,65.79,54.41,73.04,18.6,575,706,785,0.54,0.56,0.49,138.16,178.67,275.5
91,91,220025,ALAGOINHA DO PIAUI,ALAGOINHA DO PIAUI,ALAGOINHA DO PIAUI - PI,PI,-2,-5,7,-7,-8,7467,-15,Masculino,56,superior cpt.,PSB,Nordeste,62.64,72.33,62.21,52.53,67.95,34.6,576,706,786,0.6,0.53,0.51,109.3,197.96,222.87
92,92,290070,ALAGOINHAS,ALAGOINHAS,ALAGOINHAS - BA,BA,8,8,1,3,-11,152570,9,Masculino,56,superior incpt.,PDT,Nordeste,63.91,60.86,65.34,41.13,72.39,21.84,575,705,785,0.61,0.59,0.55,274.52,363.32,553.17
93,93,350075,ALAMBARI,ALAMBARI,ALAMBARI - SP,SP,-2,-3,5,3,-10,5356,-7,Masculino,51,superior incpt.,PSDB,Sudeste,67.5,33.32,70.13,23.3,73.27,17.5,575,705,785,0.5,0.49,0.44,361.56,429.24,556.36
94,94,310140,ALBERTINA,ALBERTINA,ALBERTINA - MG,MG,-2,-1,3,-6,-6,3018,-12,Masculino,53,médio cpt.,PTB,Sudeste,60.05,25.14,72.38,21.91,73.76,17.3,575,705,785,0.4,0.39,0.35,322.92,421.88,564.08
95,95,210020,ALCANTARA,ALCANTARA,ALCANTARA - MA,MA,14,8,1,-8,-8,21644,7,Masculino,47,Pós-graduação,PT,Nordeste,60.43,67.87,62.62,50.93,70.18,28.8,575,705,785,0.48,0.62,0.59,116,118.37,209.27
96,96,230050,ALCANTARAS,ALCANTARAS,ALCANTARAS - CE,CE,-1,-5,7,-4,-8,11171,-11,Masculino,55,superior incpt.,PSB,Nordeste,57.38,100.11,62.8,60.81,70.07,26.3,575,705,785,0.47,0.54,0.46,88.52,136.44,243.73
97,97,250053,ALCANTIL,ALCANTIL,ALCANTIL - PB,PB,-1,-9,1,-4,-12,5398,-25,Masculino,32,médio cpt.,PMDB,Nordeste,66.58,61.9,62.47,51.53,70.91,24.7,575,705,785,0.42,0.47,0.48,120.11,136.38,245.01
98,98,500025,ALCINOPOLIS,ALCINOPOLIS,ALCINOPOLIS - MS,MS,-1,-5,3,4,-8,4883,-7,Masculino,62,médio cpt.,PMDB,Centro-Oeste,68.32,35.75,71.47,21.55,76.46,15.3,574,705,785,0.61,0.46,0.54,470.09,591.69,764.03
99,99,290080,ALCOBACA,ALCOBACA,ALCOBACA - BA,BA,14,6,5,-4,-19,23176,2,Masculino,36,superior cpt.,PV,Nordeste,63.44,74.73,62.86,50.02,71.28,23.6,574,705,784,0.62,0.54,0.53,139.33,234.96,357.99
100,100,210030,ALDEIAS ALTAS,ALDEIAS ALTAS,ALDEIAS ALTAS - MA,MA,14,-9,7,-7,-8,25177,-3,Masculino,53,superior cpt.,PMDB,Nordeste,57.91,81.1,60.01,61.5,68.22,35.3,574,705,784,0.46,0.54,0.59,94.82,112.18,179.92
101,101,430030,ALECRIM,ALECRIM,ALECRIM - RS,RS,1,2,1,-1,-6,7010,-3,Masculino,50,superior incpt.,PMDB,Sul,71.41,23.51,71.6,19.6,76.13,11.3,574,705,784,0.54,0.5,0.49,195.15,287.84,561.62
102,102,320020,ALEGRE,ALEGRE,ALEGRE - ES,ES,10,10,9,-4,-12,32267,13,Masculino,75,superior cpt.,PMDB,Sudeste,67.38,34.65,72.02,18.8,75.35,13.6,574,705,784,0.6,0.57,0.52,286.49,426.17,655.72
103,103,430040,ALEGRETE,ALEGRETE,ALEGRETE - RS,RS,4,10,3,4,-6,79054,15,Masculino,61,Pós-graduação,PMDB,Sul,71.41,28.32,71.17,20.4,75.93,11.5,573,704,784,0.61,0.59,0.52,459.15,533.5,705.29
104,104,220027,ALEGRETE DO PIAUI,ALEGRETE DO PIAUI,ALEGRETE DO PIAUI - PI,PI,-2,-5,7,-5,-12,5211,-17,Masculino,36,médio cpt.,PTB,Nordeste,64.73,85.41,64.26,44.89,69.94,28,573,705,784,0.53,0.55,0.5,112.15,210.13,268.12
105,105,430045,ALEGRIA,ALEGRIA,ALEGRIA - RS,RS,-2,6,1,2,-6,4244,1,Masculino,46,fundamental cpt.,DEM,Sul,69.87,23.2,72.18,18.5,74.07,14,572,704,784,0.57,0.59,0.53,210.31,299.59,692.76
106,106,310150,ALEM PARAIBA,ALEM PARAIBA,ALEM PARAIBA - MG,MG,-2,12,5,1,-31,35559,-15,Masculino,69,superior cpt.,PSB,Sudeste,58.19,31.6,70.55,27.05,76.43,13.2,572,704,784,0.55,0.56,0.5,397.32,583.96,674.5
107,107,150040,ALENQUER,ALENQUER,ALENQUER - PA,PA,0,0,7,10,2,54035,19,Masculino,63,superior cpt.,PR,Norte,60.32,64.86,67.43,36.05,71.72,22,572,704,784,0.51,0.56,0.58,143.85,165.11,215.33
108,108,240050,ALEXANDRIA,ALEXANDRIA,ALEXANDRIA - RN,RN,-2,-7,7,-1,-6,13878,-9,Masculino,66,Pós-graduação,PSB,Nordeste,56.06,62.03,67.34,41.33,71.71,21.8,572,704,784,0.6,0.56,0.53,143.22,157.76,296.5
109,109,520030,ALEXANIA,ALEXANIA,ALEXANIA - GO,GO,-1,6,7,-6,-14,25468,-8,Masculino,52,superior incpt.,PMDB,Centro-Oeste,71.49,36.52,69.07,29.1,75.48,12.5,571,704,783,0.51,0.54,0.46,215.34,335.05,498.09
110,110,310160,ALFENAS,ALFENAS,ALFENAS - MG,MG,6,8,9,5,9,77618,37,Masculino,66,superior cpt.,PDT,Sudeste,57.5,22.96,73.56,18.88,75.45,14.6,571,703,783,0.56,0.57,0.51,476.91,704.36,783.41
111,111,320030,ALFREDO CHAVES,ALFREDO CHAVES,ALFREDO CHAVES - ES,ES,1,4,9,-4,-17,14859,-7,Masculino,58,Pós-graduação,PSB,Sudeste,66.6,28.8,71.3,20.47,74.93,14.2,570,703,783,0.52,0.55,0.48,277.2,387.77,634.97
112,112,350080,ALFREDO MARCONDES,ALFREDO MARCONDES,ALFREDO MARCONDES - SP,SP,-2,-7,7,4,-6,4064,-4,Masculino,51,superior cpt.,PP,Sudeste,64.23,25.7,72.65,18.5,75.41,14.1,570,703,782,0.55,0.53,0.36,378.46,443.27,558.38
113,113,310163,ALFREDO VASCONCELOS,ALFREDO VASCONCELOS,ALFREDO VASCONCELOS - MG,MG,-2,-3,5,4,-10,6490,-6,Masculino,40,fundamental incpt.,PT,Sudeste,61.13,34.2,70.5,27.17,75.01,15.3,569,703,782,0.52,0.52,0.41,182.88,280.32,400.14
114,114,420070,ALFREDO WAGNER,ALFREDO WAGNER,ALFREDO WAGNER - SC,SC,-2,12,1,-7,-6,9737,-2,Masculino,48,superior cpt.,PMDB,Sul,65.94,25.97,75.37,16.7,77.9,9.8,569,703,782,0.52,0.58,0.46,293.86,521.78,630.54
115,115,250057,ALGODAO DE JANDAIRA,ALGODAO DE JANDAIRA,ALGODAO DE JANDAIRA - PB,PB,0,-7,7,-4,-6,2446,-10,Masculino,36,superior cpt.,PP,Nordeste,62.95,85.52,61.71,54.49,69.93,27.6,569,702,782,0.37,0.45,0.47,69.71,119.09,218.7
116,116,250060,ALHANDRA,ALHANDRA,ALHANDRA - PB,PB,14,-5,5,-2,-6,18868,6,Masculino,42,médio cpt.,PMDB,Nordeste,62.91,91.78,63.41,47.95,71.69,22.5,569,702,782,0.48,0.52,0.45,130.29,167.58,236.14
117,117,260070,ALIANCA,ALIANCA,ALIANCA - PE,PE,12,12,1,-4,-11,38242,10,Masculino,42,médio cpt.,PSB,Nordeste,60.16,78.83,65.56,55.42,72.93,18.9,569,701,781,0.5,0.51,0.49,112.74,151.65,269.86
118,118,170035,ALIANCA DO TOCANTINS,ALIANCA DO TOCANTINS,ALIANCA DO TOCANTINS - TO,TO,14,6,3,4,-23,5686,4,Masculino,46,superior cpt.,PT,Norte,62.91,51.43,67.87,34.09,73.04,18.4,569,702,782,0.51,0.55,0.47,192.3,254.82,357.08
119,119,290090,ALMADINA,ALMADINA,ALMADINA - BA,BA,1,-3,3,6,-6,6327,1,Feminino,42,médio cpt.,PSD,Nordeste,62.44,58.01,64.41,44.35,70.07,27.2,568,701,781,0.5,0.52,0.46,81.41,165.85,265.39
120,120,170040,ALMAS,ALMAS,ALMAS - TO,TO,-2,-9,7,-5,-8,7553,-17,Masculino,26,superior cpt.,PSDB,Norte,58.54,70.12,64.43,45.71,72.74,19.1,568,701,781,0.61,0.59,0.57,114.97,219.3,369.39
121,121,150050,ALMEIRIM,ALMEIRIM,ALMEIRIM - PA,PA,1,10,1,-5,-6,33562,1,Masculino,59,Pós-graduação,PT,Norte,66.56,39.5,69,30.9,73.55,17.4,568,701,781,0.63,0.72,0.65,296.99,486.59,484.16
122,122,310170,ALMENARA,ALMENARA,ALMENARA - MG,MG,8,-6,7,-1,-26,40749,-18,Feminino,46,superior cpt.,PSDB,Sudeste,62.41,47.68,67.64,36.28,73.18,18.3,568,701,781,0.69,0.67,0.53,260.57,330.21,419.98
123,123,240060,ALMINO AFONSO,ALMINO AFONSO,ALMINO AFONSO - RN,RN,-2,-9,3,-8,-8,4945,-24,Masculino,29,superior cpt.,PMDB,Nordeste,55.58,70.24,66.21,45.46,69.32,28.8,568,701,781,0.56,0.57,0.49,123.1,169.67,291.3
124,124,410040,ALMIRANTE TAMANDARE,ALMIRANTE TAMANDARE,ALMIRANTE TAMANDARE - PR,PR,4,2,7,6,-9,110256,10,Masculino,49,superior cpt.,PSD,Sul,61.56,32.61,71.38,15.88,75.39,12.96,567,701,781,0.4,0.46,0.43,295.96,401.17,646.02
125,125,430047,ALMIRANTE TAMANDARE DO SUL,ALMIRANTE TAMANDARE DO SUL,ALMIRANTE TAMANDARE DO SUL - RS,RS,2,-5,9,-4,-6,2106,-4,Masculino,54,fundamental incpt.,PMDB,Sul,70.17,21.91,71.16,20.4,74.67,13.2,567,701,781,0.54,0.5,0.44,232.9,405.77,760.16
126,126,520050,ALOANDIA,ALOANDIA,ALOANDIA - GO,GO,-2,-3,7,-2,-8,2089,-8,Masculino,51,superior incpt.,PMDB,Centro-Oeste,72.58,29.47,70.35,26.1,75.02,13.1,567,700,781,0.42,0.55,0.44,204.78,510.75,599.9
127,127,310180,ALPERCATA,ALPERCATA,ALPERCATA - MG,MG,-2,-7,3,-4,-6,7437,-16,Masculino,58,fundamental cpt.,PSD,Sudeste,62.93,29.69,69.79,29.31,74.43,16.2,567,700,780,0.44,0.52,0.45,154.02,296.2,401.21
128,128,430050,ALPESTRE,ALPESTRE,ALPESTRE - RS,RS,10,10,5,1,-2,7871,24,Masculino,67,superior cpt.,PMDB,Sul,70.31,29.85,71.11,20.5,72.69,16.1,566,700,780,0.56,0.59,0.49,133.79,267.81,625.11
129,129,310190,ALPINOPOLIS,ALPINOPOLIS,ALPINOPOLIS - MG,MG,-2,12,7,-4,-27,19391,-14,Masculino,27,superior cpt.,PTB,Sudeste,57.5,26.65,73.6,18.79,76.71,12.8,566,700,780,0.56,0.48,0.47,325.63,472.48,633.91
130,130,510025,ALTA FLORESTA,ALTA FLORESTA,ALTA FLORESTA - MT,MT,-2,8,3,1,1,49761,11,Masculino,46,Pós-graduação,PMDB,Centro-Oeste,69.95,28.76,70.2,24.81,73.99,17,566,700,780,0.55,0.59,0.48,297.62,520.9,660.84
131,131,110001,ALTA FLORESTA DOESTE,ALTA FLORESTA DOESTE,ALTA FLORESTA DOESTE - RO,RO,-2,12,7,1,-8,25728,10,Masculino,55,médio incpt.,PMDB,Norte,62.01,45.58,66.9,28.36,70.75,23.8,566,700,780,0.63,0.58,0.58,198.46,371.15,476.99
132,132,350090,ALTAIR,ALTAIR,ALTAIR - SP,SP,10,0,1,-5,-12,4010,-6,Masculino,31,superior cpt.,PR,Sudeste,66.51,31.11,67.97,28,73,18,566,700,780,0.42,0.49,0.42,352.71,436.52,616.38
133,133,150060,ALTAMIRA,ALTAMIRA,ALTAMIRA - PA,PA,14,6,7,6,-11,105106,22,Masculino,71,Pós-graduação,PMDB,Norte,63.14,52.54,70.09,27.56,73.64,17.27,565,699,780,0.59,0.58,0.56,276.44,401.93,492.05
134,134,210040,ALTAMIRA DO MARANHAO,ALTAMIRA DO MARANHAO,ALTAMIRA DO MARANHAO - MA,MA,-2,-3,3,-6,-6,11564,-14,Masculino,29,superior cpt.,PMDB,Nordeste,57.91,81.1,60.23,60.54,68.16,35.6,565,700,780,0.55,0.5,0.52,118.27,138.17,164.24
135,135,410045,ALTAMIRA DO PARANA,ALTAMIRA DO PARANA,ALTAMIRA DO PARANA - PR,PR,14,3,7,-3,-6,3754,15,Feminino,37,Pós-graduação,PSB,Sul,64.17,48.55,67.53,24.31,71.79,18.6,565,699,780,0.45,0.63,0.58,164.03,257.35,506.31
136,136,230060,ALTANEIRA,ALTANEIRA,ALTANEIRA - CE,CE,6,-1,3,-2,-15,7196,-9,Masculino,49,médio cpt.,PSB,Nordeste,64.49,92.23,63.81,56.43,71.41,22.5,564,699,780,0.62,0.71,0.55,85.88,169.23,240.97
137,137,310200,ALTEROSA,ALTEROSA,ALTEROSA - MG,MG,-1,-1,9,0,-3,14306,4,Masculino,46,superior cpt.,PSDB,Sudeste,62.76,30.7,70.23,27.97,75.83,14.1,564,699,780,0.49,0.48,0.44,204.35,379.84,475.99
138,138,260080,ALTINHO,ALTINHO,ALTINHO - PE,PE,10,6,3,-3,-5,22853,11,Masculino,41,médio cpt.,PSOL,Nordeste,65.38,84.33,65.56,55.42,72.54,19.9,564,699,780,0.52,0.56,0.51,129.31,168.95,259.21
139,139,350100,ALTINOPOLIS,ALTINOPOLIS,ALTINOPOLIS - SP,SP,1,-4,9,3,-16,16137,-7,Masculino,54,superior cpt.,PMDB,Sudeste,63.72,22.82,73.55,16.9,75.57,13.9,564,698,780,0.55,0.64,0.45,506.48,772.55,731.49
140,140,140005,ALTO ALEGRE,ALTO ALEGRE,ALTO ALEGRE - RR,RR,-2,-3,3,12,-6,16428,4,Masculino,39,superior cpt.,PT,Norte,59.44,59.55,66.87,32.17,73.78,15.6,563,698,779,0.68,0.55,0.73,174.91,156.73,201.32
141,141,350110,ALTO ALEGRE,ALTO ALEGRE,ALTO ALEGRE - SP,SP,-2,-9,9,-1,-6,4193,-9,Feminino,55,superior cpt.,PV,Sudeste,63.83,27.72,72.22,19.2,74,16.3,563,697,778,0.49,0.47,0.35,249.43,407.89,560.3
142,142,430055,ALTO ALEGRE,ALTO ALEGRE,ALTO ALEGRE - RS,RS,-2,12,3,0,-12,1856,1,Masculino,49,superior cpt.,PDT,Sul,68.4,21.26,75.17,13.6,76.52,10.8,567,701,781,0.54,0.5,0.44,232.9,405.77,760.16
143,143,210043,ALTO ALEGRE DO MARANHAO,ALTO ALEGRE DO MARANHAO,ALTO ALEGRE DO MARANHAO - MA,MA,4,-4,7,1,-7,25748,1,Masculino,46,superior incpt.,PTB,Nordeste,52.93,111.6,61.19,56.56,69.62,30.6,564,698,779,0.42,0.58,0.51,73.25,129.19,198.43
144,144,210047,ALTO ALEGRE DO PINDARE,ALTO ALEGRE DO PINDARE,ALTO ALEGRE DO PINDARE - MA,MA,-2,-2,3,-1,-8,31253,-10,Masculino,33,superior incpt.,PRTB,Nordeste,55.56,94.76,63.19,48.79,71.44,25,564,698,779,0.44,0.55,0.57,68.01,119.81,144.91
145,145,110037,ALTO ALEGRE DOS PARECIS,ALTO ALEGRE DOS PARECIS,ALTO ALEGRE DOS PARECIS - RO,RO,-2,10,3,-2,-14,13827,-5,Masculino,55,fundamental cpt.,PSD,Norte,59.32,56.02,65.84,31.34,71.64,21.4,564,698,779,0.64,0.51,0.54,132.23,222.42,341.22
146,146,510030,ALTO ARAGUAIA,ALTO ARAGUAIA,ALTO ARAGUAIA - MT,MT,12,2,5,8,-10,16818,17,Masculino,52,superior cpt.,PR,Centro-Oeste,72.07,29.96,70.27,24.63,73.13,18.4,563,697,778,0.61,0.57,0.47,373.92,457.88,671.99
147,147,420075,ALTO BELA VISTA,ALTO BELA VISTA,ALTO BELA VISTA - SC,SC,-2,6,7,-1,-12,2007,-2,Feminino,38,Pós-graduação,PSD,Sul,70.48,26.37,72.35,22.6,77.93,9.8,563,697,778,0.41,0.42,0.46,269.7,390.65,770.49
148,148,510035,ALTO BOA VISTA,ALTO BOA VISTA,ALTO BOA VISTA - MT,MT,-2,-7,1,-7,-6,5809,-21,Masculino,51,superior cpt.,PMDB,Centro-Oeste,68.56,37.2,66.73,35.18,73.2,18.3,563,697,778,0.56,0.55,0.57,206.51,300.61,362.66
149,149,310205,ALTO CAPARAO,ALTO CAPARAO,ALTO CAPARAO - MG,MG,-2,-3,1,-2,-8,5605,-14,Masculino,60,médio cpt.,PSDB,Sudeste,66.01,32.81,72.02,22.88,75.54,14.5,563,697,778,0.51,0.61,0.45,258.96,586.44,505.1
150,150,240070,ALTO DO RODRIGUES,ALTO DO RODRIGUES,ALTO DO RODRIGUES - RN,RN,12,-3,9,-2,-8,13440,8,Masculino,64,médio cpt.,DEM,Nordeste,59.39,62.95,67.65,40.24,72.98,18.6,563,696,778,0.48,0.53,0.47,132.02,292.59,447.67
151,151,430057,ALTO FELIZ,ALTO FELIZ,ALTO FELIZ - RS,RS,-2,-1,5,0,-12,3035,-10,Masculino,52,fundamental incpt.,PMDB,Sul,68.95,18.6,75.68,12.9,78.14,8.9,563,696,778,0.41,0.3,0.29,313.51,495.53,802.2
152,152,510040,ALTO GARCAS,ALTO GARCAS,ALTO GARCAS - MT,MT,6,-5,5,-5,-25,10909,-24,Masculino,56,superior cpt.,PR,Centro-Oeste,71.31,25.28,72.49,19.02,75.08,15.2,563,696,778,0.54,0.7,0.46,322.24,728.9,651.91
153,153,520055,ALTO HORIZONTE,ALTO HORIZONTE,ALTO HORIZONTE - GO,GO,8,-4,7,-3,-6,5140,2,Masculino,55,superior cpt.,PP,Centro-Oeste,70.6,25.58,72.69,21.3,75.48,12.5,562,695,778,0.62,0.51,0.49,213.55,305.61,661.19
154,154,315350,ALTO JEQUITIBA,ALTO JEQUITIBA,ALTO JEQUITIBA - MG,MG,-2,10,5,-2,-14,8535,-3,Masculino,47,superior cpt.,PMDB,Sudeste,64.06,36.29,70.97,25.8,72.21,20,562,695,778,0.55,0.47,0.51,212.5,358.89,486.73
155,155,220030,ALTO LONGA,ALTO LONGA,ALTO LONGA - PI,PI,8,-4,3,-4,-8,13923,-5,Masculino,33,médio cpt.,PTB,Nordeste,64.41,59.03,64.33,44.64,70.05,27.7,562,695,778,0.54,0.57,0.58,84.02,120.79,272.28
156,156,510050,ALTO PARAGUAI,ALTO PARAGUAI,ALTO PARAGUAI - MT,MT,-2,-1,1,-4,-6,10476,-12,Masculino,41,superior cpt.,PMDB,Centro-Oeste,68.56,41.81,66.29,36.66,72.01,20.4,562,695,777,0.54,0.53,0.47,200.79,257.07,360.06
157,157,110040,ALTO PARAISO,ALTO PARAISO,ALTO PARAISO - RO,RO,8,7,9,-1,-6,19459,17,Masculino,47,fundamental cpt.,PMDB,Norte,59.66,54.65,66.57,29.28,73.22,17.4,562,694,777,0.6,0.62,0.54,134.82,454.28,498.49
158,158,412862,ALTO PARAISO,ALTO PARAISO,ALTO PARAISO - PR,PR,-2,8,3,0,-6,3159,3,Feminino,55,médio cpt.,PMDB,Sul,69.67,43.62,69.89,18.92,74.74,13.9,562,695,777,0.43,0.43,0.52,195.49,277.09,540.24
159,159,520060,ALTO PARAISO DE GOIAS,ALTO PARAISO DE GOIAS,ALTO PARAISO DE GOIAS - GO,GO,12,6,7,1,-10,7262,16,Masculino,51,Pós-graduação,PSB,Centro-Oeste,70.71,25.58,72.2,22.2,74.16,14.3,562,695,777,0.66,0.6,0.65,253.57,428.31,719.11
160,160,410060,ALTO PARANA,ALTO PARANA,ALTO PARANA - PR,PR,-2,6,5,-1,-6,14334,2,Masculino,74,superior cpt.,PSDB,Sul,64.4,28.79,70.12,18.42,75.76,11.7,561,694,777,0.51,0.5,0.43,267.22,390.74,548.25
161,161,210050,ALTO PARNAIBA,ALTO PARNAIBA,ALTO PARNAIBA - MA,MA,-2,-9,3,-6,-6,10904,-20,Masculino,55,médio cpt.,PSB,Nordeste,59.43,72.94,66.94,35.91,72.07,23.2,561,694,777,0.6,0.65,0.78,152.16,184.36,559.61
162,162,410070,ALTO PIQUIRI,ALTO PIQUIRI,ALTO PIQUIRI - PR,PR,14,8,5,2,-8,10350,21,Masculino,60,superior cpt.,PV,Sul,59.3,43.56,69.83,19.03,72.86,16.8,561,694,777,0.51,0.67,0.44,208.34,466.19,515.07
163,163,310210,ALTO RIO DOCE,ALTO RIO DOCE,ALTO RIO DOCE - MG,MG,-2,1,3,-1,-8,12120,-7,Masculino,56,superior cpt.,PSDB,Sudeste,70.02,40.28,70.12,28.31,74.7,15.8,561,694,777,0.54,0.58,0.46,129.83,241.36,323.95
164,164,320035,ALTO RIO NOVO,ALTO RIO NOVO,ALTO RIO NOVO - ES,ES,4,8,7,-2,-6,7841,11,Feminino,29,Pós-graduação,PDT,Sudeste,67.98,51.56,68.12,28.72,73.89,15.6,561,694,777,0.58,0.55,0.52,208.09,344.14,413.59
165,165,230070,ALTO SANTO,ALTO SANTO,ALTO SANTO - CE,CE,-2,-9,7,0,-8,16767,-12,Masculino,44,médio cpt.,PRB,Nordeste,59.9,49.09,68.6,37.93,71.44,22.4,561,693,777,0.48,0.55,0.48,121.94,186.45,265.07
166,166,510060,ALTO TAQUARI,ALTO TAQUARI,ALTO TAQUARI - MT,MT,-2,0,7,-4,-21,9070,-20,Masculino,46,superior cpt.,DEM,Centro-Oeste,69,22.97,72.49,19.02,74.95,15.4,560,693,776,0.47,0.71,0.46,347.05,889.51,781.26
167,167,410050,ALTONIA,ALTONIA,ALTONIA - PR,PR,-1,12,5,4,-6,21489,14,Masculino,46,médio cpt.,PDT,Sul,64.17,35.28,70.19,18.28,75.88,11.6,562,695,777,0.61,0.51,0.38,231.77,367.42,585.49
168,168,220040,ALTOS,ALTOS,ALTOS - PI,PI,0,2,7,-6,-12,39522,-9,Feminino,40,superior cpt.,PPS,Nordeste,58.34,58.22,65.3,41.27,71.03,24.8,561,693,776,0.54,0.55,0.55,119,165.75,314.48
169,169,350115,ALUMINIO,ALUMINIO,ALUMINIO - SP,SP,-2,-3,3,6,-12,17784,-8,Masculino,71,fundamental cpt.,PSDB,Sudeste,62.69,37.04,70.48,22.6,75.47,14,560,693,776,0.39,0.42,0.42,489.03,597.76,747.27
170,170,130002,ALVARAES,ALVARAES,ALVARAES - AM,AM,6,-3,7,-2,-19,15166,-11,Masculino,45,superior cpt.,PMDB,Norte,63.41,49.58,65.37,45.79,71.69,20.8,560,693,776,0.63,0.55,0.58,165.64,184.29,178.67
171,171,310220,ALVARENGA,ALVARENGA,ALVARENGA - MG,MG,-2,-3,1,-6,-12,4395,-22,Feminino,51,superior cpt.,PT,Sudeste,67.16,41.9,67.04,38.39,72.85,18.8,560,692,776,0.54,0.57,0.52,126.24,216.66,312.46
172,172,350120,ALVARES FLORENCE,ALVARES FLORENCE,ALVARES FLORENCE - SP,SP,-2,-9,3,-1,-12,3915,-21,Masculino,55,médio cpt.,PMDB,Sudeste,60.35,30.55,71.18,21.2,73.35,17.4,560,692,776,0.47,0.53,0.41,226.48,496.24,627.14
173,173,350130,ALVARES MACHADO,ALVARES MACHADO,ALVARES MACHADO - SP,SP,-2,6,7,-1,-4,24482,6,Masculino,46,superior cpt.,PV,Sudeste,61.96,22.68,72.32,19.1,75.03,14.7,560,692,776,0.49,0.53,0.46,345.69,514.41,672.03
174,174,350140,ALVARO DE CARVALHO,ALVARO DE CARVALHO,ALVARO DE CARVALHO - SP,SP,-1,-9,5,2,-6,4937,-9,Masculino,53,médio incpt.,PSDB,Sudeste,65.43,33.05,68.36,27.1,73.31,17.5,559,692,776,0.45,0.4,0.38,220.18,290.82,512.99
175,175,350150,ALVINLANDIA,ALVINLANDIA,ALVINLANDIA - SP,SP,-2,-9,5,-4,-8,3137,-18,Masculino,46,médio cpt.,PPS,Sudeste,62.91,34.91,70.57,22.4,72.48,18.9,559,692,776,0.45,0.48,0.53,285.04,364.53,710.49
